Date,Open,High,Low,Close,Adj Close,Volume,ticker
2021-10-05,14533.429688,14763.639648,14520.230469,14674.150391,14674.150391,4143190000,^NDX
2021-10-06,14529.889648,14775.639648,14499.480469,14766.75,14766.75,4443760000,^NDX
2021-10-07,14899.070313,15010.320313,14878.219727,14897.129883,14897.129883,3936210000,^NDX
2021-10-08,14942.360352,14948.349609,14805.5,14820.75,14820.75,3557630000,^NDX
2021-10-11,14765.69043,14907.570313,14709.049805,14713.730469,14713.730469,3522230000,^NDX
2021-10-12,14772.290039,14784.780273,14636.330078,14662.110352,14662.110352,4037030000,^NDX
2021-10-13,14751.799805,14800.830078,14676.580078,14774.599609,14774.599609,4032440000,^NDX
2021-10-14,14925.580078,15059.889648,14901.589844,15052.419922,15052.419922,4240520000,^NDX
2021-10-15,15106.969727,15150.139648,15064.589844,15146.919922,15146.919922,4473930000,^NDX
2021-10-18,15091.580078,15307.509766,15074.709961,15300.889648,15300.889648,4142540000,^NDX
2021-10-19,15349.450195,15414.969727,15320.620117,15410.719727,15410.719727,4443000000,^NDX
2021-10-20,15448.0,15457.110352,15333.429688,15388.709961,15388.709961,4086590000,^NDX
2021-10-21,15365.80957,15497.580078,15350.5,15489.589844,15489.589844,4880390000,^NDX
2021-10-22,15422.070313,15474.280273,15291.950195,15355.070313,15355.070313,5719760000,^NDX
2021-10-25,15417.25,15555.650391,15338.490234,15514.19043,15514.19043,5677320000,^NDX
2021-10-26,15615.360352,15710.790039,15518.589844,15559.490234,15559.490234,7035470000,^NDX
2021-10-27,15603.160156,15729.75,15578.679688,15598.389648,15598.389648,6083210000,^NDX
2021-10-28,15674.389648,15784.0,15650.009766,15778.160156,15778.160156,5660240000,^NDX
2021-10-29,15638.740234,15856.900391,15638.740234,15850.469727,15850.469727,5310370000,^NDX
2021-11-01,15879.610352,15910.349609,15785.30957,15905.280273,15905.280273,5239250000,^NDX
2021-11-02,15885.339844,15988.330078,15877.269531,15972.490234,15972.490234,5118540000,^NDX
2021-11-03,16000.599609,16157.599609,15950.589844,16144.5,16144.5,5274520000,^NDX
2021-11-04,16193.219727,16387.949219,16169.55957,16346.240234,16346.240234,5252570000,^NDX
